Symptom_Text,Water_Color,Water_Odor,Disease
"vomiting, nausea, stomach cramps, mucus in stool",Brown,Rotten,Dysentery
"nausea, vomiting, stomach cramps, fever",Turbid,Fecal,Dysentery
"nausea, stomach cramps",Turbid,Fecal,Dysentery
"stomach cramps, fever, painful passing of stool",Cloudy,Foul,Dysentery
"bloody diarrhea, nausea, stomach cramps",Brown,Fecal,Dysentery
"stomach cramps, mucus in stool",Brown,Rotten,Dysentery
"nausea, bloody diarrhea, vomiting, mucus in stool",Brown,Foul,Dysentery
"mucus in stool, stomach cramps",Cloudy,Foul,Dysentery
"bloody diarrhea, mucus in stool",Cloudy,Fecal,Dysentery
"vomiting, nausea, fever, bloody diarrhea",Brown,Foul,Dysentery
"bloody diarrhea, painful passing of stool, fever",Turbid,Fecal,Dysentery
"mucus in stool, bloody diarrhea, nausea, fever",Turbid,Rotten,Dysentery
"painful passing of stool, stomach cramps",Turbid,Fecal,Dysentery
"bloody diarrhea, mucus in stool, painful passing of stool, nausea",Cloudy,Foul,Dysentery
"stomach cramps, nausea",Brown,Rotten,Dysentery
"nausea, fever",Brown,Foul,Dysentery
"fever, stomach cramps, mucus in stool",Cloudy,Rotten,Dysentery
"nausea, mucus in stool",Cloudy,Rotten,Dysentery
"fever, painful passing of stool, vomiting, stomach cramps",Turbid,Foul,Dysentery
"painful passing of stool, mucus in stool, bloody diarrhea, vomiting",Cloudy,Foul,Dysentery
"painful passing of stool, nausea, fever",Brown,Foul,Dysentery
"nausea, mucus in stool",Turbid,Foul,Dysentery
"bloody diarrhea, fever",Brown,Foul,Dysentery
"painful passing of stool, mucus in stool, fever",Brown,Fecal,Dysentery
"painful passing of stool, fever, vomiting",Turbid,Rotten,Dysentery
"painful passing of stool, bloody diarrhea",Cloudy,Rotten,Dysentery
"stomach cramps, painful passing of stool, mucus in stool, nausea",Turbid,Fecal,Dysentery
"mucus in stool, nausea, painful passing of stool",Brown,Fecal,Dysentery
"mucus in stool, painful passing of stool, stomach cramps",Turbid,Fecal,Dysentery
"fever, bloody diarrhea, vomiting, nausea",Cloudy,Fecal,Dysentery
"vomiting, fever, painful passing of stool",Brown,Foul,Dysentery
"mucus in stool, vomiting, painful passing of stool",Brown,Fecal,Dysentery
"vomiting, stomach cramps",Turbid,Foul,Dysentery
"mucus in stool, fever, nausea",Brown,Rotten,Dysentery
"nausea, stomach cramps",Turbid,Rotten,Dysentery
"bloody diarrhea, nausea, fever, mucus in stool",Turbid,Fecal,Dysentery
"bloody diarrhea, painful passing of stool",Turbid,Foul,Dysentery
"stomach cramps, fever, mucus in stool",Turbid,Rotten,Dysentery
"stomach cramps, fever, mucus in stool",Turbid,Fecal,Dysentery
"mucus in stool, painful passing of stool, stomach cramps",Cloudy,Fecal,Dysentery
"bloody diarrhea, mucus in stool, painful passing of stool, stomach cramps",Turbid,Fecal,Dysentery
"painful passing of stool, bloody diarrhea, stomach cramps, vomiting",Brown,Fecal,Dysentery
"nausea, vomiting",Turbid,Foul,Dysentery
"nausea, mucus in stool, fever, stomach cramps",Cloudy,Foul,Dysentery
"nausea, vomiting",Brown,Fecal,Dysentery
"painful passing of stool, mucus in stool",Turbid,Foul,Dysentery
"bloody diarrhea, vomiting, mucus in stool",Brown,Fecal,Dysentery
"vomiting, mucus in stool",Cloudy,Fecal,Dysentery
"painful passing of stool, nausea",Turbid,Fecal,Dysentery
"fever, nausea, painful passing of stool",Brown,Foul,Dysentery
"bloody diarrhea, nausea",Cloudy,Foul,Dysentery
"nausea, painful passing of stool, bloody diarrhea",Brown,Fecal,Dysentery
"vomiting, mucus in stool",Turbid,Fecal,Dysentery
"bloody diarrhea, nausea, painful passing of stool, vomiting",Turbid,Foul,Dysentery
"mucus in stool, stomach cramps",Brown,Rotten,Dysentery
"nausea, vomiting, bloody diarrhea, fever",Turbid,Foul,Dysentery
"fever, nausea",Turbid,Foul,Dysentery
"painful passing of stool, fever",Turbid,Rotten,Dysentery
"stomach cramps, bloody diarrhea",Cloudy,Fecal,Dysentery
"mucus in stool, painful passing of stool, bloody diarrhea",Brown,Foul,Dysentery
"mucus in stool, bloody diarrhea",Turbid,Rotten,Dysentery
"painful passing of stool, fever, nausea, bloody diarrhea",Turbid,Rotten,Dysentery
"mucus in stool, fever",Brown,Rotten,Dysentery
"painful passing of stool, mucus in stool",Brown,Rotten,Dysentery
"fever, mucus in stool, vomiting, nausea",Cloudy,Fecal,Dysentery
"bloody diarrhea, fever, mucus in stool",Turbid,Fecal,Dysentery
"bloody diarrhea, mucus in stool, fever, painful passing of stool",Turbid,Fecal,Dysentery
"mucus in stool, nausea, bloody diarrhea, painful passing of stool",Cloudy,Fecal,Dysentery
"bloody diarrhea, painful passing of stool",Brown,Rotten,Dysentery
"stomach cramps, painful passing of stool, nausea, mucus in stool",Turbid,Foul,Dysentery
"vomiting, stomach cramps, fever, nausea",Turbid,Rotten,Dysentery
"vomiting, nausea, stomach cramps, fever",Cloudy,Fecal,Dysentery
"bloody diarrhea, painful passing of stool, fever, mucus in stool",Turbid,Foul,Dysentery
"stomach cramps, nausea, fever",Cloudy,Foul,Dysentery
"stomach cramps, vomiting, fever, nausea",Turbid,Rotten,Dysentery
"bloody diarrhea, painful passing of stool",Brown,Fecal,Dysentery
"nausea, bloody diarrhea, vomiting",Brown,Fecal,Dysentery
"mucus in stool, stomach cramps, painful passing of stool",Cloudy,Rotten,Dysentery
"bloody diarrhea, fever, vomiting, painful passing of stool",Brown,Fecal,Dysentery
"bloody diarrhea, vomiting, nausea",Cloudy,Fecal,Dysentery
"bloody diarrhea, stomach cramps, vomiting, fever",Turbid,Fecal,Dysentery
"vomiting, bloody diarrhea",Turbid,Foul,Dysentery
"vomiting, bloody diarrhea, stomach cramps, painful passing of stool",Turbid,Rotten,Dysentery
"nausea, painful passing of stool, mucus in stool",Brown,Foul,Dysentery
"bloody diarrhea, mucus in stool, stomach cramps",Cloudy,Foul,Dysentery
"nausea, fever",Cloudy,Fecal,Dysentery
"fever, bloody diarrhea, mucus in stool",Brown,Rotten,Dysentery
"painful passing of stool, nausea",Turbid,Rotten,Dysentery
"bloody diarrhea, nausea, vomiting, fever",Turbid,Foul,Dysentery
"nausea, mucus in stool, vomiting",Cloudy,Fecal,Dysentery
"fever, bloody diarrhea, vomiting, nausea",Brown,Foul,Dysentery
"vomiting, stomach cramps, bloody diarrhea",Cloudy,Fecal,Dysentery
"vomiting, fever, painful passing of stool",Cloudy,Foul,Dysentery
"fever, bloody diarrhea, painful passing of stool",Brown,Fecal,Dysentery
"nausea, fever",Cloudy,Rotten,Dysentery
"stomach cramps, mucus in stool, fever",Turbid,Fecal,Dysentery
"mucus in stool, fever",Turbid,Rotten,Dysentery
"painful passing of stool, stomach cramps",Turbid,Fecal,Dysentery
"mucus in stool, vomiting, painful passing of stool, fever",Brown,Fecal,Dysentery
"painful passing of stool, stomach cramps",Cloudy,Rotten,Dysentery
"mucus in stool, nausea",Turbid,Fecal,Dysentery
"vomiting, fever, mucus in stool, stomach cramps",Turbid,Foul,Dysentery
"stomach cramps, bloody diarrhea",Cloudy,Foul,Dysentery
"stomach cramps, painful passing of stool, fever",Brown,Rotten,Dysentery
"vomiting, bloody diarrhea",Cloudy,Fecal,Dysentery
"vomiting, nausea, bloody diarrhea",Turbid,Fecal,Dysentery
"nausea, mucus in stool",Brown,Fecal,Dysentery
"vomiting, nausea, mucus in stool, fever",Cloudy,Fecal,Dysentery
"nausea, vomiting, mucus in stool",Turbid,Fecal,Dysentery
"mucus in stool, stomach cramps",Brown,Foul,Dysentery
"nausea, bloody diarrhea, fever, vomiting",Turbid,Fecal,Dysentery
"bloody diarrhea, fever",Cloudy,Rotten,Dysentery
"mucus in stool, bloody diarrhea, fever, vomiting",Turbid,Foul,Dysentery
"mucus in stool, fever, vomiting, stomach cramps",Brown,Rotten,Dysentery
"painful passing of stool, fever, stomach cramps",Brown,Rotten,Dysentery
"fever, vomiting",Cloudy,Rotten,Dysentery
"nausea, painful passing of stool",Brown,Foul,Dysentery
"painful passing of stool, bloody diarrhea, fever",Brown,Rotten,Dysentery
"fever, nausea, stomach cramps",Cloudy,Fecal,Dysentery
"fever, vomiting, painful passing of stool, nausea",Cloudy,Fecal,Dysentery
"stomach cramps, nausea",Brown,Foul,Dysentery
"painful passing of stool, mucus in stool, stomach cramps",Brown,Fecal,Dysentery
"nausea, vomiting",Cloudy,Rotten,Dysentery
"stomach cramps, painful passing of stool, fever, vomiting",Turbid,Foul,Dysentery
"painful passing of stool, mucus in stool, fever",Turbid,Foul,Dysentery
"nausea, fever",Cloudy,Fecal,Dysentery
"bloody diarrhea, fever",Turbid,Foul,Dysentery
"fever, mucus in stool, painful passing of stool",Cloudy,Fecal,Dysentery
"vomiting, mucus in stool",Brown,Rotten,Dysentery
"bloody diarrhea, nausea, fever",Turbid,Foul,Dysentery
"nausea, fever, mucus in stool",Brown,Rotten,Dysentery
"fever, nausea, bloody diarrhea, stomach cramps",Cloudy,Rotten,Dysentery
"vomiting, bloody diarrhea, nausea",Brown,Fecal,Dysentery
"stomach cramps, mucus in stool",Brown,Fecal,Dysentery
"nausea, fever",Brown,Rotten,Dysentery
"stomach cramps, mucus in stool, painful passing of stool, vomiting",Turbid,Foul,Dysentery
"stomach cramps, nausea, vomiting",Cloudy,Fecal,Dysentery
"nausea, mucus in stool, fever, painful passing of stool",Cloudy,Foul,Dysentery
"nausea, painful passing of stool",Brown,Rotten,Dysentery
"fever, nausea, mucus in stool",Cloudy,Rotten,Dysentery
"mucus in stool, vomiting",Brown,Foul,Dysentery
"bloody diarrhea, mucus in stool, vomiting, nausea",Turbid,Rotten,Dysentery
"mucus in stool, stomach cramps, bloody diarrhea, painful passing of stool",Brown,Fecal,Dysentery
"bloody diarrhea, fever",Cloudy,Rotten,Dysentery
"fever, vomiting, painful passing of stool, bloody diarrhea",Brown,Fecal,Dysentery
"fever, vomiting, mucus in stool, bloody diarrhea",Turbid,Rotten,Dysentery
"painful passing of stool, fever",Cloudy,Fecal,Dysentery
"fever, mucus in stool",Turbid,Foul,Dysentery
"stomach cramps, painful passing of stool",Brown,Rotten,Dysentery
"fever, nausea, vomiting",Turbid,Fecal,Dysentery
"painful passing of stool, mucus in stool, fever, vomiting",Brown,Fecal,Dysentery
"vomiting, stomach cramps, fever, painful passing of stool",Cloudy,Fecal,Dysentery
"stomach cramps, mucus in stool, fever, painful passing of stool",Cloudy,Foul,Dysentery
"bloody diarrhea, painful passing of stool, stomach cramps",Turbid,Rotten,Dysentery
"fever, mucus in stool",Turbid,Rotten,Dysentery
"mucus in stool, fever, stomach cramps, nausea",Turbid,Fecal,Dysentery
"mucus in stool, bloody diarrhea, nausea, vomiting",Brown,Fecal,Dysentery
"mucus in stool, painful passing of stool, fever",Brown,Fecal,Dysentery
"bloody diarrhea, stomach cramps, nausea",Brown,Foul,Dysentery
"bloody diarrhea, painful passing of stool, nausea",Turbid,Foul,Dysentery
"bloody diarrhea, stomach cramps, fever, mucus in stool",Brown,Foul,Dysentery
"fever, vomiting, bloody diarrhea, painful passing of stool",Turbid,Fecal,Dysentery
"fever, vomiting",Brown,Rotten,Dysentery
"mucus in stool, painful passing of stool, bloody diarrhea",Cloudy,Fecal,Dysentery
"bloody diarrhea, vomiting",Cloudy,Rotten,Dysentery
"stomach cramps, bloody diarrhea, mucus in stool, fever",Cloudy,Rotten,Dysentery
"painful passing of stool, bloody diarrhea",Cloudy,Foul,Dysentery
"mucus in stool, bloody diarrhea",Brown,Fecal,Dysentery
"fever, bloody diarrhea",Cloudy,Fecal,Dysentery
"nausea, painful passing of stool, stomach cramps, mucus in stool",Cloudy,Fecal,Dysentery
"mucus in stool, painful passing of stool, bloody diarrhea, stomach cramps",Cloudy,Foul,Dysentery
"nausea, bloody diarrhea, stomach cramps",Turbid,Foul,Dysentery
"fever, vomiting",Turbid,Rotten,Dysentery
"stomach cramps, bloody diarrhea",Brown,Rotten,Dysentery
"fever, vomiting",Turbid,Fecal,Dysentery
"mucus in stool, nausea, vomiting",Turbid,Fecal,Dysentery
"stomach cramps, fever",Brown,Rotten,Dysentery
"fever, vomiting, bloody diarrhea",Cloudy,Foul,Dysentery
"nausea, fever, vomiting, bloody diarrhea",Turbid,Rotten,Dysentery
"fever, vomiting, mucus in stool, painful passing of stool",Cloudy,Rotten,Dysentery
"fever, painful passing of stool, stomach cramps, bloody diarrhea",Turbid,Foul,Dysentery
"painful passing of stool, vomiting",Turbid,Rotten,Dysentery
"fever, vomiting",Turbid,Fecal,Dysentery
"bloody diarrhea, mucus in stool",Brown,Fecal,Dysentery
"painful passing of stool, bloody diarrhea",Brown,Rotten,Dysentery
"fever, stomach cramps, bloody diarrhea",Cloudy,Rotten,Dysentery
"mucus in stool, vomiting, painful passing of stool",Turbid,Foul,Dysentery
"mucus in stool, nausea, stomach cramps, fever",Turbid,Foul,Dysentery
"painful passing of stool, bloody diarrhea, vomiting",Turbid,Foul,Dysentery
"painful passing of stool, stomach cramps",Brown,Fecal,Dysentery
"vomiting, nausea, stomach cramps",Brown,Rotten,Dysentery
"painful passing of stool, nausea, vomiting",Brown,Fecal,Dysentery
"vomiting, stomach cramps, fever, bloody diarrhea",Brown,Fecal,Dysentery
"bloody diarrhea, painful passing of stool",Turbid,Foul,Dysentery
"stomach cramps, vomiting",Brown,Fecal,Dysentery
"painful passing of stool, bloody diarrhea, stomach cramps, nausea",Cloudy,Fecal,Dysentery
"vomiting, mucus in stool",Turbid,Foul,Dysentery
"fever, bloody diarrhea, painful passing of stool, mucus in stool",Cloudy,Fecal,Dysentery
"fever, mucus in stool, bloody diarrhea",Cloudy,Rotten,Dysentery
"vomiting, nausea",Turbid,Foul,Dysentery
"stomach cramps, vomiting, painful passing of stool",Turbid,Rotten,Dysentery
"bloody diarrhea, nausea, stomach cramps",Turbid,Rotten,Dysentery
"nausea, bloody diarrhea, vomiting, mucus in stool",Turbid,Fecal,Dysentery
"painful passing of stool, nausea, mucus in stool, bloody diarrhea",Brown,Rotten,Dysentery
"fever, stomach cramps",Cloudy,Foul,Dysentery
"nausea, fever, painful passing of stool, vomiting",Brown,Foul,Dysentery
"painful passing of stool, mucus in stool, vomiting",Brown,Rotten,Dysentery
"painful passing of stool, bloody diarrhea, mucus in stool, fever",Brown,Fecal,Dysentery
"painful passing of stool, bloody diarrhea, vomiting",Turbid,Foul,Dysentery
"fever, stomach cramps",Brown,Rotten,Dysentery
"mucus in stool, bloody diarrhea, fever, painful passing of stool",Cloudy,Rotten,Dysentery
"painful passing of stool, mucus in stool, nausea",Cloudy,Foul,Dysentery
"bloody diarrhea, painful passing of stool",Brown,Fecal,Dysentery
"vomiting, bloody diarrhea, stomach cramps, painful passing of stool",Cloudy,Fecal,Dysentery
"bloody diarrhea, painful passing of stool",Turbid,Fecal,Dysentery
"mucus in stool, bloody diarrhea, vomiting, painful passing of stool",Turbid,Foul,Dysentery
"painful passing of stool, bloody diarrhea, mucus in stool, fever",Brown,Foul,Dysentery
"stomach cramps, fever",Turbid,Fecal,Dysentery
"nausea, stomach cramps",Cloudy,Foul,Dysentery
"bloody diarrhea, mucus in stool, fever, vomiting",Cloudy,Fecal,Dysentery
"fever, nausea, painful passing of stool",Cloudy,Foul,Dysentery
"painful passing of stool, vomiting",Turbid,Rotten,Dysentery
"nausea, painful passing of stool, fever",Brown,Fecal,Dysentery
"fever, mucus in stool",Cloudy,Rotten,Dysentery
"nausea, mucus in stool",Cloudy,Foul,Dysentery
"bloody diarrhea, nausea",Turbid,Foul,Dysentery
"nausea, stomach cramps, bloody diarrhea",Turbid,Foul,Dysentery
"mucus in stool, stomach cramps, vomiting, bloody diarrhea",Turbid,Foul,Dysentery
"mucus in stool, bloody diarrhea, nausea, vomiting",Turbid,Rotten,Dysentery
"nausea, mucus in stool, bloody diarrhea",Turbid,Fecal,Dysentery
"nausea, mucus in stool",Cloudy,Foul,Dysentery
"mucus in stool, nausea",Turbid,Rotten,Dysentery
"painful passing of stool, vomiting, fever",Brown,Foul,Dysentery
"bloody diarrhea, stomach cramps",Cloudy,Foul,Dysentery
"bloody diarrhea, mucus in stool",Turbid,Fecal,Dysentery
"painful passing of stool, bloody diarrhea",Turbid,Rotten,Dysentery
"fever, painful passing of stool, mucus in stool",Cloudy,Rotten,Dysentery
"mucus in stool, nausea, bloody diarrhea",Brown,Rotten,Dysentery
"vomiting, stomach cramps",Brown,Rotten,Dysentery
"mucus in stool, painful passing of stool, fever",Turbid,Fecal,Dysentery
"vomiting, mucus in stool",Turbid,Rotten,Dysentery
"stomach cramps, vomiting",Turbid,Foul,Dysentery
"painful passing of stool, fever, bloody diarrhea, mucus in stool",Brown,Fecal,Dysentery
"vomiting, bloody diarrhea, stomach cramps",Cloudy,Fecal,Dysentery
"painful passing of stool, nausea",Cloudy,Rotten,Dysentery
"painful passing of stool, vomiting, nausea, fever",Turbid,Foul,Dysentery
"fever, bloody diarrhea, nausea",Turbid,Rotten,Dysentery
"fever, nausea, stomach cramps",Brown,Foul,Dysentery
"bloody diarrhea, stomach cramps, fever",Cloudy,Rotten,Dysentery
"fever, painful passing of stool",Cloudy,Foul,Dysentery
"stomach cramps, bloody diarrhea, painful passing of stool, vomiting",Brown,Fecal,Dysentery
"vomiting, stomach cramps",Brown,Rotten,Dysentery
"mucus in stool, fever, vomiting",Cloudy,Fecal,Dysentery
"vomiting, bloody diarrhea, nausea, fever",Cloudy,Foul,Dysentery
"bloody diarrhea, painful passing of stool, nausea",Brown,Fecal,Dysentery
"fever, stomach cramps, vomiting",Cloudy,Fecal,Dysentery
"fever, nausea",Cloudy,Fecal,Dysentery
"vomiting, fever, nausea, mucus in stool",Brown,Rotten,Dysentery
"mucus in stool, stomach cramps",Cloudy,Rotten,Dysentery
"stomach cramps, mucus in stool, nausea",Turbid,Fecal,Dysentery
"mucus in stool, fever, painful passing of stool",Turbid,Foul,Dysentery
"mucus in stool, stomach cramps, fever, vomiting",Brown,Foul,Dysentery
"painful passing of stool, nausea, bloody diarrhea",Cloudy,Rotten,Dysentery
"fever, bloody diarrhea, stomach cramps",Cloudy,Rotten,Dysentery
"nausea, bloody diarrhea, painful passing of stool",Brown,Fecal,Dysentery
"painful passing of stool, mucus in stool",Cloudy,Rotten,Dysentery
"painful passing of stool, nausea, bloody diarrhea",Brown,Foul,Dysentery
"vomiting, nausea",Cloudy,Fecal,Dysentery
"vomiting, painful passing of stool, stomach cramps, fever",Turbid,Foul,Dysentery
"nausea, fever, vomiting",Brown,Fecal,Dysentery
"mucus in stool, fever",Brown,Fecal,Dysentery
"nausea, painful passing of stool",Turbid,Fecal,Dysentery
"stomach cramps, painful passing of stool",Brown,Foul,Dysentery
"vomiting, bloody diarrhea, nausea",Turbid,Foul,Dysentery
"vomiting, painful passing of stool, bloody diarrhea, fever",Turbid,Fecal,Dysentery
"nausea, mucus in stool, painful passing of stool",Turbid,Rotten,Dysentery
"mucus in stool, stomach cramps, bloody diarrhea",Brown,Fecal,Dysentery
"nausea, painful passing of stool, bloody diarrhea, mucus in stool",Cloudy,Rotten,Dysentery
"nausea, fever, mucus in stool, stomach cramps",Cloudy,Foul,Dysentery
"bloody diarrhea, painful passing of stool, mucus in stool, vomiting",Brown,Fecal,Dysentery
"stomach cramps, mucus in stool",Brown,Foul,Dysentery
"bloody diarrhea, fever",Cloudy,Rotten,Dysentery
"stomach cramps, painful passing of stool, vomiting",Turbid,Fecal,Dysentery
